target_role,education_level,education_relevance,experience_years,experience_relevance,common_skill_coverage,skill_gap_count,project_count,project_quality_score,project_relevance_score,project_depth_score,project_diversity_score,github_activity_score,live_project_count,portfolio_completeness_score,portfolio_design_score,portfolio_content_score,portfolio_evidence_score,technical_evidence_score,soft_skill_evidence_score,github_available,deployment_available
AI Engineer,MTech,64,0.3,75,59,6,3,67,73,90,74,0,1,76,14,0,39,82,33,,
AI Engineer,BSc,15,3.7,68,100,0,3,90,75,18,48,34,2,77,44,85,91,34,60,,
AI Engineer,BTech,54,3.8,63,100,2,4,67,86,39,84,38,4,89,54,47,68,74,70,,
AI Engineer,MSc,90,2.8,66,75,1,0,57,97,43,39,50,0,62,53,49,80,98,34,,
AI Engineer,BSc,89,0.4,62,95,2,1,30,93,49,37,0,1,67,59,55,26,80,75,,
AI Engineer,BSc,55,1.0,39,98,2,2,56,64,53,61,46,2,75,32,35,87,92,23,,
AI Engineer,MSc,85,2.3,67,100,0,5,50,86,91,22,72,0,100,40,46,68,82,79,,
AI Engineer,BE,47,3.2,78,100,0,2,47,97,20,33,0,0,35,100,62,62,67,55,,
AI Engineer,BE,18,1.6,64,100,2,4,64,81,49,82,30,0,71,54,70,62,100,70,,
AI Engineer,BSc,51,0.1,61,100,0,4,53,99,29,57,61,3,80,69,76,66,77,76,,
AI Engineer,BE,94,1.8,55,61,3,4,51,86,69,33,69,3,75,73,54,83,75,44,,
AI Engineer,MCA,80,1.2,65,100,0,2,38,69,66,81,0,0,35,58,63,65,64,41,,
AI Engineer,BTech,60,0.5,60,89,1,3,60,61,48,65,11,1,56,82,77,69,69,66,,
AI Engineer,PhD,34,7.0,71,98,0,9,62,71,95,75,100,7,100,80,75,80,96,75,,
AI Engineer,BBA,69,3.6,38,72,3,3,69,55,90,91,59,0,88,68,35,91,82,82,,
AI Engineer,MBA,97,1.8,48,99,2,2,53,74,66,51,0,0,80,81,49,48,85,47,,
AI Engineer,MCA,75,0.1,83,41,7,5,60,67,54,63,0,4,100,49,70,71,78,72,,
AI Engineer,BSc,83,0.3,88,85,1,2,51,100,36,61,35,1,89,47,66,42,67,58,,
AI Engineer,MTech,31,1.7,63,83,0,5,83,78,44,45,91,4,81,29,21,72,100,66,,
AI Engineer,MTech,79,1.6,91,94,0,3,56,100,54,66,0,1,57,67,27,63,72,68,,
AI Engineer,BE,84,2.3,68,76,2,4,71,90,71,49,0,4,88,63,72,89,64,30,,
